id,age,sex,education
E9DBF5EFAD55CCE6C7D8A216828DA1EA,1,2,5
61DA6AC61A33B7CE8AD7E79BFAE9D931,2,1,4
2B315EA83A48835672287C88762A97B6,1,1,5
F6E77FA57C4E130CA496F49D8C36B49C,2,2,4
4462945588C8DC21234AD1C98C47F106,1,1,5
D6CBC7F7F09469FCF65435B0AB573B92,1,1,5
23B08252DEFD46EDE3B2CD6E9728A6D6,1,2,5
3DD0E720267F25B25ACD796EFE72EFB9,3,1,3
A5EA45FD28AA8309397921AE70BF7554,2,2,3
5A4FD63B1E9C11830A794310EBED242E,2,2,4
9417AA6AB8CB9FF4CB21A96DB420B5CC,3,1,3
66022202D743E37950802BDFC72CB94A,1,1,5
AAC9994F405BF0A15C92681EE868272F,2,1,4
B4D78243175DF80FCE873570E4C2DF42,1,1,5
910B255A8E74ACB0AB27C4A01A92282D,2,2,4
0990F2DAEBA3135E3BCE4452AC59416A,2,2,5
5C5F80421B1B442100C2C436BE91E293,0,1,6
BAEDE37763A237B8F451A7BE910B2329,1,1,5
C773ED7A4A095014B76F2D199E6A6274,1,1,5
DD2A54611F061A1F2BF4E124B34B8763,2,2,5
D35AA438B62C02E8B112712595590212,3,2,6
078DB631FFC308AB31FDD91105466EEF,4,1,3
EC7B04381BC8FF637A59019B0B2677C8,2,2,4
7264AB5C617BFB5A8C899DD6D2CAE415,2,1,5
E27D3217144B73B24B2845BB6EA6211C,2,1,5
7DF219CE8F9BF2B798E9BC3122303510,1,1,5
D182CBDC0DE6B5F74DEBB6B55AFCA2D3,1,2,5
7DDE5DC1F94C928F89AC8E83100CD82E,3,2,3
5CEECD8778774EA06A6B9DF9CBF3DE0A,1,2,5
BE43437AC08F9642AE8A7039ED7143C1,1,2,5
D30FF59F8D74682E522902B177D0EFD5,3,1,3
BCE25CA5C231941A4CC6B7BB29FDFC0D,4,2,4
FBAD9A2A1B2415BD7EE898EE19B55908,2,1,4
3789EED3E35DD928CF7351A32CC14A99,1,2,5
17C7EA8ACB322996ED0B8AB9908142FA,2,2,4
7DACE0036052F7E16ADBADFC287C88A7,2,1,5
1B8FA7CA28ED2F8486ABC2BC586AD971,0,1,6
6706659DE38A8DE85C4EAEE98FF5D666,2,2,4
B501975F71F193149F2FBF3DBCABCE5B,1,1,5
AAD252DBD101D939B5171C3AC9D13816,2,2,5
744EF9EEC9990A54C3921B9CD8F6B821,2,2,5
90FBC2730673F776DCB09EEC51226A2B,1,2,5
FCD119EC4690C0EBCFE14CE6812C56FE,3,2,3
EBDF82AD7DE1B02A3D2F2902075A582F,3,1,3
A0695A6986320C9E84074608D69AFBBF,3,1,3
22B72387E8A938D3EEF1BDD6393F3314,2,1,4
7E1EC2CD443F02BF51B64E9F94CBE0CF,5,2,0
C21DDA70ED20A2655A11D13BB4CADC5B,1,1,5
8FE140771DCD689DF8F01AFA39BBBD20,2,1,4
69E376D2A1F344B396ABA0645402EE0A,1,2,5
432541EF75AAC7663016CE22E70AAF46,1,2,5
72EA2A96D49D3BB863F2233C879FF22E,3,2,3
F427B1AFDAAD1F2E3052C55B3B75EB99,3,2,3
E5084B07862918A6B646C7B755A58E7A,2,1,4
37A3124ACD044ED7D99CFBCF076DFB43,4,2,3
155CF62C5505B9B028F7CF72467AA26B,3,2,3
9D4EBBF3C658CFE8DB9E6EAF228E0AFB,1,1,5
5DDD9EE3DFB9B038E5BB0EFD33798343,2,1,5
CD8CA66358A2F9F988465CE0DA961770,1,1,5
A7503091DBB31D6D0650B6B8B24F75AC,2,2,4
4472D8CAD89EB5D226A18F96D31377A4,4,1,3
85E2BB8D77DA0C1C38DE75FAF0120408,1,2,5
29AA78A0043730EBB57FB416B14F554F,3,2,4
BF643D54366EAAC2D6730C8CFECB8C3F,3,2,3
D411FEB95486E9BE22A21DA31143C895,2,2,0
0F3A197EBA3F68F781F7E7CA138AA2A2,4,1,0
21E23F093541FA9F334FD8A745E895BD,4,2,3
23C10DE97527D12B49D861D86050F302,4,2,3
7DED0D662D2FC62D014255C8BD34D17B,1,1,0
028FCC5185A7A1F048AB065B347B103F,1,1,5
EAD676EF191B7AF93261D0879829EE6E,0,0,6
4947119BB08725BE6087D38D8C0B316C,1,1,5
4F50C4A9FED51830194E3E4755668670,1,1,4
11262F20FD97364E46FEE5ACA6CB7580,1,2,0
632DC75C3117EE65FCEFD9C853BF14A7,4,2,3
A694AAFBF1598562570F525CC90FC15A,1,2,0
937BFBE4522D5EBD4F43AD125CE819C9,0,0,6
DB1B2F23DEF5704AC3436B067018888C,3,1,3
3D4575E14067450C16426ACAD6E85BDE,2,1,5
E36710951AD5D8379F85FFBFCF46780E,1,1,5
4E8F4FD9D7FA61527C94050CF5451AB5,3,1,2
E93932F3E6CF3D50ADCB187A91C00487,3,2,3
2379B2B926702A3675F28AE933E32B83,2,1,5
F3885147F1B602454A2CDE144038F67C,1,2,5
3E1D9DC567B59C02814F01B278985C34,3,1,3
466AEF6B0A3CE0383DA4668B1B6BBFC4,1,1,5
CDD5087293CD06F07A9228F21592021A,1,1,5
8C7DFA3A2059C84B1CE9BB2C75799D57,2,1,5
CEF7D26759FBE1EBC825AC9A56358AE7,1,1,5
C908CAD3121651B317E5D40D52BC7B7F,1,1,5
C7D37E318AB436F474411C9A0FDB307A,4,2,3
EBCE301840F5A7BEEC3AF9227322F9C4,1,2,5
A8302C979B659BCD2C617C3C553F7562,3,2,3
1B0A96F17EE60B128FF79E3988FF6A9C,3,0,3
A06AECD47AA61239F68875BD045452A2,2,1,4
F6BA94FFCC8F339F771939787E38F289,3,2,3
6BA0551A5F72E28C5B1E8ADA151579E7,3,1,4
418A7D9A377850C70452F51A51EBE08A,2,1,0
451AED5EA27B3196DCB857D429AF9EE3,1,2,5
B6729412E39FAE52021E500C9ECE2E04,1,1,5
C3E633E7BA5E5591F3145D7925C10962,1,1,6
BA51F2B8D2EB70444BCB57F6C0CA059A,4,1,3
4892F5911460335DCD31E6EA4C1E27EA,0,1,6
99D29492534D20CF44EA32B0078811DD,2,2,4
7084A7C4B9B22B64A59014B4456B558B,1,1,6
0A1D1342C86FD208E23B2F08C5DEF8AA,2,1,4
BF4B36A3A94E3EAC61F9AF698FC9AC4F,3,1,3
481CF8578499442BF73A717C84817279,3,2,3
4897ED21B622B90C7ECBFB448B7F2B28,1,1,5
D69F57BD0C1E7F3F5434D4E66E9AC247,2,1,4
80C98E73A12F6E9FF66419841993A144,2,2,4
D559CC8E701209261CBD77F55FD104FC,2,1,4
303464ACF3F50B7E7D894FB48040869E,2,2,4
E5C1F5771375C8584D4912206AB5271E,1,1,5
376F7A8C514CE49749DB426371027AB3,1,2,5
7FDAFEF45D6F699CC8693655CCB4AF64,1,2,5
1A45C7DFD91B0F3A9C8738DC8D528726,1,1,0
35328A54DA71C87724D21F06EA44D873,1,0,0
3A36771F10E68D6BC80C700B4D3F5685,2,1,5
FABA94B19A7452D6E33B4A7E66B01A62,3,1,3
C14D7A5FE0C741BCB57CAA00598326A7,4,1,3
363BB33802B8AB2A8B60D7527808BEE1,3,2,0
9CB60C511455FF0FC6B381E8C82C1FBA,2,2,5
22D6136202DD887D15F24C0801BED60D,3,1,3
DDD8682478EE4F45B914C7E08997D053,1,2,4
CB07FA40D43050E0344FA5F99D94AB17,3,1,0
FA980E1AFDF4C156F3181745AA68109C,2,1,4
EB9BA01CCAABB06E88BEF7B35E1273A6,1,1,5
6BF4A67266387BC7FE8B736152A509AF,1,2,5
6F62504DD16C2B876FC506E196F730FC,2,2,4
B49D29FD386F75B0F2024DF0FA81E5D7,1,2,5
66A15055650349D569B2EAA6471DA252,4,2,3
E6772F033D532D2BE130A11FCB53179D,1,1,5
45E8646B75A9AEB374961271ADACAF52,4,2,4
5B5285119957A37C970566BD684ECC80,1,2,5
90E88DF329FE93BB5AEB9A9EBAAE4145,1,1,5
CDE9A10FC480C229F0928E1A0C1ECACB,0,0,6
7D72705FC3DDFBC1D6708CA1315E7A11,1,2,5
51FF3C3AD0A7237632599AA3ECCB2954,2,2,4
A08560BB36E65B457464AE8054FD448A,1,1,5
D645EDE2D782BC8BCB97D14454673952,0,2,0
F81FF51B2B77194BB56EE52958FBF310,2,1,4
BAE1600492C76B41741454104FCC1DE5,3,1,3
8F4D2505C40C0C2BA7BAA24C0EA6FB96,4,2,3
63C2A70ACEF35F7617A5758768886484,1,1,5
28DEDC9A605BB8B90DE1C962F0053484,1,2,6
4896F2DD1FDCC5BA92854E0BF9BD3FAB,1,1,5
F149D2E9FA1463CC0537DC316AE698EB,4,2,4
54CE1D9451EAAE3B2594D8EA11F2F930,2,2,4
76EBEB3AF31E451BF7CC48C79B0E9EE0,1,1,5
EFD627C6DC7111C84C76491EF7E8AABB,5,2,3
831BFF7146622BE0EADE3006FCE461BA,2,2,3
5ACCBE5B4547437EEA5A38BD1FE74C97,3,2,3
313061C73687DB382E72DEE77A30E4CD,2,2,4
C41596FFC9790D7393C90123B124ADE4,1,1,5
397045FF3AD981266CE7E506D7972ED1,2,1,5
521A7786160E2961D31F62150F162DF6,1,1,5
14C6083F0AEB26BBD517FB6F761B89AD,2,1,4
33C8E855E302BAFFB2A4F7824A549AA1,4,2,0
182107F1BA3087F7B1274EC7E54D34FB,1,2,5
F46871B32D2558533ADC195D08977181,2,1,4
0F79F4A81D1831B070E64C81F64B5A29,1,1,4
0D07DC671CB7C10353D6379F2F0A6C0F,4,1,3
6804AC76F92DA01D04B762239A730CA1,1,1,5
9ABA2B530D593E3EBDE4A488E2CD996E,1,1,5
3E8850F1203CADE754D17DBDE250052E,2,1,0
225CA7A20E6AA5E685303BB63C1FFAE1,2,1,5
E9EC286690C0EA3BB11D25B16802355E,1,1,5
0346545DC8DFDF564048C2E3F45768BC,2,0,5
A570815A65BFC007D878F094AA7F21B8,1,1,5
875630367F0A79C796351923721BB298,2,2,0
8E1C05F52986A616F0049566705D67C1,2,2,4
294A575B54D1E7C446B69697446E37A2,1,1,5
9500053C1CC2A3AB4F188C35782FC7E8,2,1,3
8240D9CBFF6535434AE87ACF2147101D,2,1,0
606C77344A29A9A0FCD49E3264C311FB,1,2,5
426EAC5164AD31B42EB1B42E1E24D07D,4,1,3
CE7A4EC49B4212B83EC50445546C58C9,3,1,3
183929BC45E334898CC4B58FC810A5EA,2,2,5
5E738CA5C0A7C4C49096BEC3674CBE07,1,2,5
26E650E731334F0634B5823AB4CE19F6,1,2,4
855DA2438A3CEB75AE9D2AD8AF50C995,3,2,3
E68CBE0E9AF60DADFE63B4EBD04F2035,3,1,3
369976EC3EFC3DF401BA95CCA2E951A5,2,1,4
EB438D437D0F2D6CCF0C4007AA3298CD,1,2,5
C1732E6F97ADA4AB286F4DBC4DD14195,3,2,3
9125149F63E5DBF953AF5749B30AAFA6,1,1,5
37AC1DB8990D09C0AA0B4A75F424A7BB,2,1,4
561A1C310832BCA9B88E0DF55E7082F9,2,2,0
47A0F05DA51BBDFF5B0578C6D418A93E,3,2,3
57CB148A88DA5188BC0E36099ED1C6C6,1,1,5
56F61FDA8E9A24C5D596B4A27C0E3540,3,1,3
543D2F7275595E681ECA9B186A665AA5,3,1,3
BEE1E82BCDE082410C94C70BC11FF607,1,1,5
151E3E8B27BE323230E5C8A5755372E9,4,2,4
4CA32CA7277BE32C685EA403277A4CC6,2,1,4
84635F0ACF36287476E416CA65BA80A8,5,2,4
2099A79E75E28B13E0342511749F90FC,4,1,3
D7556137E184C2DF9BCB87076D7A8DA1,1,1,5
43B1D6F7E5444B6B8923AE1B597197CE,3,2,3
A48930EAD7569FD89C6F19489147CD03,1,1,5
95B05E5EC1DF8844A2D731E7C47D8AC1,3,2,4
657EB7E7670E75B860B5847DE3A6F5D0,1,2,5
32814122241B5DB446CAE82AB721382D,1,1,0
DC61315DDBEBA2D1FF718144AF0853DF,2,1,5
B52124990CC8F68A49D5F48F3061C6D7,3,1,3
268692A011D2F5AAE395383BBB87C4F2,4,2,0
610312EB8F573745A223D02C832EF5C1,1,1,5
CAB4A5B4E19E9085588CEDE9402A0C63,2,1,4
F5B2EC16EE31F793EED3F75BE84E26C4,2,2,5
106F1E6167BF569CF797566BCEA76DFE,3,1,4
0827D7F48137639FF98DE79011DB3E23,4,2,6
9BC236B4E751CD787B153B65E52E28FC,1,1,5
0FCAF5F512D81F2D731FF8B16EB6854E,1,0,0
14F2E26EFD6516EF1EB233DE38A5AAD6,1,1,5
D3725C2F2F02FE0CA604747E7200D74E,0,2,6
1B934EBD4169BAE4B4B57F718769AD97,1,2,6
F429050D3C4D35C3B53628C9B064484D,1,1,5
07C93D2AECEA2ECBCFD855FDDB1A6C4F,1,1,5
088624D842A220ADC9F8347DAD630C77,2,1,4
7F848B5699B6B8B2578708852A57332C,1,2,5
323AFBF94D91F218004BF130F6027E87,1,2,5
9ED886CACA38617A9F566E7F99E57CD6,2,1,4
FF60A9A8CB489F5FDC0A11C82763AE53,1,1,5
89474756E81BF9F003C11167BACF7EE3,2,1,4
92CA06C045E8E77AF91854722DF8AF98,2,2,3
54AF7170182826ABF547A25079E83E07,1,2,5
1FCBD95E847907A19D7F47E681EDEC3D,4,2,3
862C0710CF800938D206564D313AB220,1,1,0
774C17549A99381454B9ED3FF4828D9A,4,2,4
783544A6F56609B7D333F79D6EFD3E0F,2,2,4
A252F815D9373C4C05D4440549A1E296,2,2,4
D1A5DAFB238ED3144B6C1855C30EF09E,2,1,5
86FF34ADE1F9AF000316F9DC39B5271F,2,1,3
9DFDA574E7C9629F70EE0A60C7DCA570,1,2,5
E75292704CF43FFD277811E15EE3065A,4,1,2
DE9ACF1894AF7B04C1F295151F01E99C,2,1,4
127FCCB16B56BECC237980A2A2152340,1,2,5
41893C91EDF83787EC3018FDCEC765CE,5,1,3
70801A806EDD48464DA52B76CA41476C,2,1,5
20091DDC44F082F709D572884E25891E,4,1,3
6F013F75703E8DCD8D25BE539451D48A,1,1,5
2FDFBABA9C5AC13856471118C3A4115F,2,2,4
F89403071E5ADD661739B03431C24211,2,1,4
053B117CFCF40CC5E6BD42835EB69B39,1,1,5
EB6217B7766E42079C57257787A0726C,1,1,0
FCDE9EEC8CF4B5CA49DE73C09407C3A5,0,0,6
13B25FB72C6AFDB68931B7A70E1CEAD6,1,2,5
7A71B05240D5A7435E3377A8B9E99E95,0,1,6
2F43028757A423E032E4E39673764FEA,2,2,4
F54D52B88552CA02ECB501D573A0794A,2,2,4
A7497C38C630EFB63B4E4EA4AB8F2919,3,2,3
9D592CE7B13C4B574E89A922F36424D6,1,2,6
E087DD2943B68F02AD9A9636CE82823C,1,2,0
CBF2C568FB734EE7BE2F6804C9BE1C20,4,2,3
32C4E32DDF9D4BB1934C174A76F211F8,1,1,6
F2B09C7C3E42BCC0C603A2C2D4F97269,1,1,5
DA6C46CD2EFA9DBE9BD22A78ED4CAC14,5,2,3
55DC967804AC7A7355D49A76FF988558,2,1,0
7E4BF1EE5726B9BBDDD93B6684EB6949,1,1,5
919EC37C90EF4627380930623272EA71,1,1,5
061DCCB2F7E505B35D513FB741AAF275,2,1,4
477B615848D53EDEDFCF741328B1A22B,1,1,5
AD5A14B238A99108989950DC00E54F94,1,2,5
B0A0A7FFE75DAF1B5100B383CE9EAF2A,3,1,3
1BAF3022270019DD047961E64383A7E8,2,1,4
75D92179A06849D9F4F7FD75EC645D79,1,1,5
778DEF83B089C61FA5F3C112BD6B3255,4,1,3
4A52EDCDBFA94613D1061ABEE4A2964F,1,1,5
C7885781117AAC31D504DFA906D2A1BB,1,1,5
6A0D4AEF44241B55596520F29A76983A,1,2,6
287F54A7BE6A9757DA57FCA751B0BBD0,1,1,5
694A3AAC30756551BF151B7526336ED7,4,1,3
0B8F268FCD926B54C8DF7AC495D3173B,3,1,4
A7992AA38DE62DD3166E71761EB1653C,2,2,4
5FEE2B235C4A1E3C64F8073EAD6D0F69,1,1,5
EE1FB8437ECE48752029E508FCEECECD,3,1,4
46D475B97C1B305FFFDA63F053BCCF7D,3,1,0
5B94877992021B71444C916DFA9AD9FD,3,2,3
89218890AA52EA6732804EA14D9F41F6,2,2,5
FC4FBDC1C9B45C56093F56DA93A46F55,2,1,4
101A8901F1A368C77C6250EF45C1517D,5,2,3
7799493177184C4DF82AD8EADDC1FFF8,1,1,5
D72F34C05E9A4D47EFDF596C5007085E,0,0,6
312BE956C9B055F4C04756018FB904D7,1,1,5
FE818E67FF556933ABE6C314AF4EFE86,1,1,6
7D38CB192B57889780180081CB3B1A19,1,1,6
B636EC8C48A4669423812D9924EBE179,1,1,4
4D13691254C62944C074C7B47F838F48,4,2,3
67612BB71C2EACAF69B79538EDE94BEA,1,1,5
B6D477CD4AB3CC5385DEB1C633DDE4E5,2,1,4
264F6FC6440919E954E21E32DAAD27B7,1,1,5
CA3110DD67FB394FAADA162BE70C9B99,2,1,4
72CF607B1F0041B7C32C9022B9E285DC,3,1,3
13B1150FE41C0A6B5AD60E898E4282D4,2,1,4
BE89C3C3061D0173D4E0E25A1AAD91CF,4,1,4
A12E4E4AA72F85211353AA2DBAA226E9,1,1,5
569B761105542E6ECD77DA4346373AF4,4,2,3
437282FAE14D6E22F73B9D4B4C797013,2,2,4
62E03467BCC82598ED1E4C09B596EDCE,1,2,5
383B047CAFA62711E7EA4EB7AE50EB84,3,1,3
CB4EA0845E66491D5B9A3AAD6CCB7818,1,2,5
5BC68081BB4747FBFAD8560F9754A340,1,1,5
64887F3102FE21527AE1095390E76B6A,1,2,0
0DAFE211B6A319031FAB2C13E9AAB5BF,2,1,4
D2A30328EB62BE735576A7BB2FF8103D,2,1,5
358B1E6CB88996E18AFC72D678BAFBA6,1,1,5
93983FE789A5B0EBF48E23EC7DE6D6ED,1,1,5
668A603EE226A2F6503B66D6B43C9DE0,5,1,0
81715FCC812DCE88267BA325D8980773,0,0,6
0588E42FC235ABCD43D3DE8ACDA30FD9,2,0,5
00848D262471433953B52BD8DC5CC20A,4,2,3
A0E2D6BA1D238F0208A6AEE30D2A1C97,3,1,3
CC8E054B38B58FFA0398381D2138DB7F,1,2,5
09EBB1FEF853611DA11464FBA74D9B73,3,1,4
9DB756F5E629E0357DEAE6FD17F1DFA1,2,2,4
4150ACDB5CCAF66D473C577EC05F1C8F,3,1,4
4A61E9979E585422D0980DF11EE94B02,5,1,0
5961C4AD2C2511C19907312633E831C1,4,1,0
0F35ABEE35C7F5BBA8B3E7335BBEB36D,3,2,3
0908DE801DCB6BE609E9F2D5A6E4245E,1,2,5
E89649B9C152021FC494CD1C8FFCC9B6,2,1,5
51BC7A8C6156C4AC56A49FE09FF5423E,4,1,3
04ABF468627039BC12F49F0E55952798,1,1,5
F1A94E151E2FD5C242FF295C05F4B182,1,1,5
1C971A244A3AAAEDF1AE3B332A52196C,2,1,4
50B68C8A96C19AEFE3F7D1DA7EE1CA1E,1,0,6
F90EA720C3140745E1ADB443437DD16E,4,1,3
E91FC90758610F933AA78FC7AF9430B2,1,1,4
8D3917F83D093A4C5E74D7D9C76A05D0,1,1,5
0D0EB85EDDA2BAC06E5E0095F8F97DA2,1,1,5
3F635E974718A1629AFF64A38CAEDBEC,3,1,0
EBCB638D5BDA5DAD4F3FA483B175D505,3,2,3
9EBE7321D4E64B7176E0482DEE4027FF,4,1,3
A2790360EB667281888A207711CADCE4,2,1,4
F2838D34D029CD34ABAE9B3E61D2FB5B,2,1,4
3A85C3F08FCCC3B5DDBAF54BF9DBD7BC,3,1,3
94A3B419C0BE86C5D87BB7AD9F4CF3CE,1,2,5
2403DB7ECC40A7F40728EBCA5CD2DF5E,1,1,5
8C5E622F0761B3AC313E575DDA461963,1,2,5
99848D29B6769392BA0B26A4AB8727DD,1,2,5
BB2A00386AD894D02B1C5322A5218872,1,1,5
D02B0EB0808C512A7277DD69B7AC9C12,4,2,3
83E8CBB6E74EB71D37061615A674F85D,2,1,4
80A1B9961631638759BD7D126461544E,1,1,5
60AF783591F8B4A6B1ACB4C5152ADDF6,3,1,3
57D146A6444EFA726F732114985F3075,2,1,4
2882FDAACA637DFD786DF7C61B233DB6,3,1,4
BBA4813345FE3FEB2FFD570DDEC80859,5,1,2
5BD82E430EBC2A58B4D72FB29CF5C886,3,1,4
46385087D8B0B930B799CACB14D13539,2,2,4
A5F52D1BC487C3CBEED54E191F024FCD,4,1,4
34D33EE2B6F5BAF012BDFDEF259FA3BD,2,2,5
4453DB35AAAC0EEE65B074BD9FD6BC6C,2,2,5
98DF71F1FC9AE9B10D0B437CEAA5B577,1,2,4
CB7383B6E106C0A3B4DDE0FF6303CD77,1,1,5
2D9D6B0C3CB8A03C29913BDCE8D2803D,1,1,5
A895578AB37538DE4BEF4CA6FC3F4F4A,1,1,5
EDCE03E4EF4E625D467BF9A778EFC4F2,2,2,4
D94FCBEB34D8A6A701A91DB1DFB24BBB,2,2,5
0AD850B9D7AE7ACC757E67F92B98E25E,3,2,3
6CE9B056542A30FB8A4B1B7F36A15A9C,2,1,4
178DB759CFCAB541070D6FCB3008B028,1,1,5
5AE39DF7FAF7A980A1255ED65F06A73F,5,1,0
1B6D5519AAFC7A7541092881D916B8D2,2,2,4
A669878DA9F09A0730CE4D0227028C01,3,1,4
0E0EFADB4DDBD7BAE0C215FA421BCE34,4,1,3
E9E1BA9189F9C7D9F1C9C48693B891E8,2,1,0
FD8D6133535305E04B6F7AA8204C4075,2,1,5
35DB4DFC8C59A739C306C975995914BB,3,2,3
2428F642568068E622C02497E32EFD8C,3,2,4
412360157A300888BAAB03F56B31274A,3,1,3
C4D07C79035E36BA0BE0AEE73A8F75AA,1,2,5
34D94A0E9EEF9BA6820F4EF948856839,2,1,4
78F09016622969F7376E7470A0E4D3E9,4,2,3
083A3484FBB560D4AB870BA8F9934F5B,1,1,5
F4C35EB7E863F74A746F2FB2780F8B8C,1,1,5
8AACF19FC32B6F62A20B170BF43FB50B,3,1,4
7B4BFA3C0C6E393B042D15E811852C72,1,1,0
DC550E8D4EDDAB84D162C3BE7EA3504E,1,1,5
184F2C73FD6E84DCFF98145F9BA0B60E,3,1,3
041D277B447C2A7916F0DF49D0971B2B,1,1,5
7295A778EBEB2C7C90A1BE1AC8AC9282,3,1,3
84B02CB28BC1DCC855761EA459D07681,2,2,4
B06EB7A5B7A43125E7DA86DB3803EB3A,2,1,4
7BF91717065E9413AB32B78FD733E997,2,2,4
EF2B9EC5BF96220DC265621A790F6B5B,0,0,6
9BEB1734C55F52F9D860A1168A07CAD3,5,1,4
836E366F39809AF61D78ACA01405BA09,1,2,5
6F35065C0762673252101286B579A73E,2,2,4
BCDBC135CE5CD6A79A88C465EBE857E3,1,1,5
CE42739940634043B8FD270F9D9F7283,2,2,0
7DFF16A7048B61CFC973137E9DFD7EF2,2,2,5
63F19F66F73F5C4FB98EED7C30993C4D,4,2,4
1B34171299A2B179E9DE542BA648EE1B,2,1,5
5D49051D7474FC00C297914DEC74B085,2,1,4
D015FCDBACA86AAAC8F2A4345ACF65D9,1,2,5
446E2B4AB875376039FD0B3B6D753BD2,1,2,5
CEF30FA24A02C40ED2996D5C07E8F332,2,2,4
46FBC41D6EE6886F11129195CAD37735,3,2,3
FC4D7B887F061BB16AF2B8157F2FB885,2,1,5
923423EFF799C494363B22883E1EE863,1,1,5
3FF1276993AF60A74D91396429FFD757,1,2,5
34EFC83CCB819D3C436022E188AA48FC,5,2,0
485D4A2DB519808977A6E65D63D1A305,1,1,5
A35F02608A5958EEF7C61FFC137B32A2,1,2,6
74CE34E456498C56377E8EE7D4019EB6,4,1,4
331B700D8F8526BC7C7C75CF9838F36F,2,2,5
E358A10391D9CF5CD27D3BF4E33A16B7,1,1,5
4A63487EBBA5A0E6FEA9A8CEE7CCBAA6,3,2,3
8EB71F50D9AC8C2D447B0FD21347304F,3,2,3
F2152C05AEDE34417A82E8A4145E7FE0,4,2,3
23D80A7F9D6483A998266D991D0ED642,1,2,5
99C5E2B48F2E138909169ED53B8509E1,1,2,5
F3E89150D37806C564646BECC160B1CF,1,1,5
F0A236679C57AE1B94959082C5FD3FC0,1,1,6
3FFBFA58623AF4412C75A4A9E51A92B2,1,1,5
80C096E7BF7558F342903DC82A8464AF,2,2,5
02218F8E3615B05A513A318C3D02B1C3,2,2,4
80C9AB8EE124136FE9820F70E19F024D,1,1,5
900C31856A01C33DED98E793E0607651,1,2,5
9083512FC665AADF5B25B75135606C5C,1,2,5
7371562426030E5D4EB96443FDD9937C,2,2,5
5D0EE612CCBA5EB925F035F5F30E5FD6,0,0,6
D4C8FB3D1B97B3ADCF2D106FCC6E553D,2,2,4
